matchId,polymarketTitle,kalshiTitle,tfidfPreFilterScore,llmConfidenceScore,resolutionDate,survivesB0B1,survivesB2,survivesAll
f48a4a38-fa16-423a-b642-18712cba9303,Will England win the 2026 FIFA World Cup?: This market will resolve according to the national team t,2026 FIFA World Cup game played in Mexico,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
d7484c5a-b6a3-4d53-bd9a-3bb9ad977198,Will England win the 2026 FIFA World Cup?: This market will resolve according to the national team t,2026 FIFA World Cup game played in Massachusetts,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
02234e11-7262-493d-878c-bbfe5efe357b,Will OpenAI or Anthropic IPO first?,Will OpenAI or Anthropic IPO first?,0.6,,,false,true,false
67c52bf0-7b0e-4d4b-bdad-fe84b53ef549,Will Team AM win the 2026 FIFA World Cup?: This market will resolve according to the national team t,2026 FIFA World Cup game played in Mexico,0.164,0,2026-07-20T00:00:00.000Z,true,false,false
c9f73c70-2dde-4497-8e20-45c56192599a,Will Team AM win the 2026 FIFA World Cup?: This market will resolve according to the national team t,2026 FIFA World Cup game played in Massachusetts,0.164,0,2026-07-20T00:00:00.000Z,true,false,false
50c25a1e-15f9-4bb5-83cf-eae15e189c20,Will France win the 2026 FIFA World Cup?: This market will resolve according to the national team th,2026 FIFA World Cup game played in Mexico,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
c63d9fb5-56ea-4a7b-9787-3ba678b879a6,Will France win the 2026 FIFA World Cup?: This market will resolve according to the national team th,2026 FIFA World Cup game played in Massachusetts,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
36c9d0d0-41fb-4bb6-a326-4cf34e7fdf2f,Will South Korea win the 2026 FIFA World Cup?: This market will resolve according to the national te,2026 FIFA World Cup game played in Mexico,0.169,5,2026-07-20T00:00:00.000Z,true,false,false
e8a358e5-347e-478f-ae5a-fe78b733ee8d,Will South Korea win the 2026 FIFA World Cup?: This market will resolve according to the national te,2026 FIFA World Cup game played in Massachusetts,0.169,0,2026-07-20T00:00:00.000Z,true,false,false
3269106c-5133-40c7-bd68-ab186fde86a7,Will Haiti win the 2026 FIFA World Cup?: This market will resolve according to the national team tha,2026 FIFA World Cup game played in Mexico,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
d4dfec80-bfc4-4cff-acfd-db86323f1ff0,Will Haiti win the 2026 FIFA World Cup?: This market will resolve according to the national team tha,2026 FIFA World Cup game played in Massachusetts,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
7a0a01b5-4484-45df-a66c-88def974bd51,Will Brazil win the 2026 FIFA World Cup?: This market will resolve according to the national team th,2026 FIFA World Cup game played in Mexico,0.17,5,2026-07-20T00:00:00.000Z,true,false,false
a1d958cf-8ae4-4839-a984-f7ce08edfae0,Will Brazil win the 2026 FIFA World Cup?: This market will resolve according to the national team th,2026 FIFA World Cup game played in Massachusetts,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
bcbda11e-a88f-4c73-8b78-5066485b811e,Will Jordan win the 2026 FIFA World Cup?: This market will resolve according to the national team th,2026 FIFA World Cup game played in Mexico,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
b43d2aaf-9310-4fef-bad9-ddb16b30b2d4,Will Jordan win the 2026 FIFA World Cup?: This market will resolve according to the national team th,2026 FIFA World Cup game played in Massachusetts,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
d58ce90b-b2e9-483a-893d-3d70504292d4,Will Curaçao win the 2026 FIFA World Cup?: This market will resolve according to the national team t,2026 FIFA World Cup game played in Mexico,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
78979bc3-f163-4ffd-8900-7f6bce3acf4b,Will Curaçao win the 2026 FIFA World Cup?: This market will resolve according to the national team t,2026 FIFA World Cup game played in Massachusetts,0.17,0,2026-07-20T00:00:00.000Z,true,false,false
ab076553-cf0f-4bbc-ac0c-ad15cb7accb8,Will Argentina win the 2026 FIFA World Cup?: This market will resolve according to the national team,2026 FIFA World Cup game played in Mexico,0.17,5,2026-07-20T00:00:00.000Z,true,false,false
